split,condition,method,target,region,metric,value
validation,primary,selected_tau_gpfa,tau_0.06_0.45,selection_provenance,validation_total_nll,524.24544221191343
validation,primary,selected_tau_gpfa,tau_0.06_0.45,selection_provenance,combined_total_nll,1588.130301159325
validation,primary,selected_tau_gpfa,tau_0.06_0.45,selection_provenance,rank,6
validation,primary,selected_tau_gpfa,tau_0.08_0.18,selection_provenance,train_total_nll,1049.9157341542677
validation,primary,selected_tau_gpfa,tau_0.08_0.18,selection_provenance,validation_total_nll,518.04717912272679
validation,primary,selected_tau_gpfa,tau_0.08_0.18,selection_provenance,combined_total_nll,1567.9629132769946
validation,primary,selected_tau_gpfa,tau_0.08_0.18,selection_provenance,rank,2
validation,primary,selected_tau_gpfa,tau_0.08_0.3,selection_provenance,train_total_nll,1044.6765622591347
validation,primary,selected_tau_gpfa,tau_0.08_0.3,selection_provenance,validation_total_nll,514.98349632315967
validation,primary,selected_tau_gpfa,tau_0.08_0.3,selection_provenance,combined_total_nll,1559.6600585822944
validation,primary,selected_tau_gpfa,tau_0.08_0.3,selection_provenance,rank,1
validation,primary,selected_tau_gpfa,tau_0.08_0.45,selection_provenance,train_total_nll,1055.6034061871576
validation,primary,selected_tau_gpfa,tau_0.08_0.45,selection_provenance,validation_total_nll,519.70998824081516
validation,primary,selected_tau_gpfa,tau_0.08_0.45,selection_provenance,combined_total_nll,1575.3133944279728
validation,primary,selected_tau_gpfa,tau_0.08_0.45,selection_provenance,rank,4
validation,primary,selected_tau_gpfa,tau_0.14_0.18,selection_provenance,train_total_nll,1094.9257408887188
validation,primary,selected_tau_gpfa,tau_0.14_0.18,selection_provenance,validation_total_nll,551.62539174749008
validation,primary,selected_tau_gpfa,tau_0.14_0.18,selection_provenance,combined_total_nll,1646.5511326362089
validation,primary,selected_tau_gpfa,tau_0.14_0.18,selection_provenance,rank,8
validation,primary,selected_tau_gpfa,tau_0.14_0.3,selection_provenance,train_total_nll,1089.7291402989288
validation,primary,selected_tau_gpfa,tau_0.14_0.3,selection_provenance,validation_total_nll,548.4618939017621
validation,primary,selected_tau_gpfa,tau_0.14_0.3,selection_provenance,combined_total_nll,1638.1910342006909
validation,primary,selected_tau_gpfa,tau_0.14_0.3,selection_provenance,rank,7
validation,primary,selected_tau_gpfa,tau_0.14_0.45,selection_provenance,train_total_nll,1100.6775207459809
validation,primary,selected_tau_gpfa,tau_0.14_0.45,selection_provenance,validation_total_nll,553.10911844094892
validation,primary,selected_tau_gpfa,tau_0.14_0.45,selection_provenance,combined_total_nll,1653.7866391869297
validation,primary,selected_tau_gpfa,tau_0.14_0.45,selection_provenance,rank,9
validation,primary,selected_tau_gpfa,grid,selection_provenance,next_candidate_total_nll_gap,8.3028546947002724
validation,primary,selected_tau_gpfa,latent_1,timescale,relative_tau_error,0
validation,primary,selected_tau_gpfa,latent_2,timescale,relative_tau_error,0
train,primary,static_pca,loading_subspace,all,loading_subspace_angle_degrees,8.5330097903773297
train,primary,static_pca,loading_subspace,all,loading_subspace_rms_sine_error,0.11506156640527428
train,primary,static_pca,loading_subspace,all,loading_subspace_projector_frobenius_error,0.23012313281054708
train,primary,bounded_diagonal_fa_em,loading_subspace,all,loading_subspace_angle_degrees,5.4239914193946843
train,primary,bounded_diagonal_fa_em,loading_subspace,all,loading_subspace_rms_sine_error,0.078179615095318247
train,primary,bounded_diagonal_fa_em,loading_subspace,all,loading_subspace_projector_frobenius_error,0.15635923019063749
train,primary,two_stage_channel_gp_then_pca,loading_subspace,all,loading_subspace_angle_degrees,7.4744889948181452
train,primary,two_stage_channel_gp_then_pca,loading_subspace,all,loading_subspace_rms_sine_error,0.096175855236279473
train,primary,two_stage_channel_gp_then_pca,loading_subspace,all,loading_subspace_projector_frobenius_error,0.19235171047255545
train,primary,two_stage_channel_gp_then_fa,loading_subspace,all,loading_subspace_angle_degrees,7.3207642543722686
train,primary,two_stage_channel_gp_then_fa,loading_subspace,all,loading_subspace_rms_sine_error,0.097338741300242795
train,primary,two_stage_channel_gp_then_fa,loading_subspace,all,loading_subspace_projector_frobenius_error,0.19467748260048223
test,primary,bounded_diagonal_fa_em,observation_distribution,complete_trial,marginal_nll_per_entry,1.1185768661145152
test,primary,bounded_diagonal_fa_em,aligned_latent_scores,all,latent_rmse,0.36660477752403842
test,primary,bounded_diagonal_fa_em,aligned_latent_scores,all,latent_95_coverage,0.94166666666666665
test,primary,bounded_diagonal_fa_em,aligned_latent_scores,all,posterior_roughness,0.47095399333129873
test,primary,bounded_diagonal_fa_em,loading_subspace,all,loading_subspace_angle_degrees,5.4239914193946808
test,primary,bounded_diagonal_fa_em,masked_observation_prediction,masked_channel,predictive_rmse,0.48845955227364041
test,primary,bounded_diagonal_fa_em,masked_observation_prediction,masked_channel,predictive_nll_per_entry,0.70051280587689158
test,primary,bounded_diagonal_fa_em,masked_observation_prediction,masked_channel,predictive_95_coverage,0.95833333333333337
test,primary,bounded_diagonal_fa_em,masked_observation_prediction,masked_channel,mean_predictive_variance,0.23475002072574624
test,primary,bounded_diagonal_fa_em,masked_observation_prediction,masked_channel,hidden_target_count,48
test,primary,bounded_diagonal_fa_em,masked_observation_prediction,masked_block,predictive_rmse,0.92767543586328272
test,primary,bounded_diagonal_fa_em,masked_observation_prediction,masked_block,predictive_nll_per_entry,1.0464845479830025
test,primary,bounded_diagonal_fa_em,masked_observation_prediction,masked_block,predictive_95_coverage,0.95238095238095233
test,primary,bounded_diagonal_fa_em,masked_observation_prediction,masked_block,mean_predictive_variance,0.89594938606981089
test,primary,bounded_diagonal_fa_em,masked_observation_prediction,masked_block,hidden_target_count,126
test,primary,mean_diagonal_gaussian,observation_distribution,complete_trial,marginal_nll_per_entry,1.4340008420465169
test,primary,mean_diagonal_gaussian,masked_observation_prediction,masked_channel,predictive_nll_per_entry,1.6430690158410668
test,primary,mean_diagonal_gaussian,masked_observation_prediction,masked_channel,predictive_rmse,1.1514714468606955
test,primary,mean_diagonal_gaussian,masked_observation_prediction,masked_channel,predictive_95_coverage,0.875
test,primary,mean_diagonal_gaussian,masked_observation_prediction,masked_channel,mean_predictive_variance,0.8454734064234698
test,primary,mean_diagonal_gaussian,masked_observation_prediction,masked_channel,hidden_target_count,48
test,primary,mean_diagonal_gaussian,masked_observation_prediction,masked_block,predictive_nll_per_entry,1.3606321178556855
test,primary,mean_diagonal_gaussian,masked_observation_prediction,masked_block,predictive_rmse,0.9276754358632826
test,primary,mean_diagonal_gaussian,masked_observation_prediction,masked_block,predictive_95_coverage,0.95238095238095233
test,primary,mean_diagonal_gaussian,masked_observation_prediction,masked_block,mean_predictive_variance,0.89603547607639433
test,primary,mean_diagonal_gaussian,masked_observation_prediction,masked_block,hidden_target_count,126
test,primary,static_pca,train_frozen_procrustes_latent_path,all,latent_rmse,0.81107803865179462
test,primary,two_stage_channel_gp_then_pca,train_frozen_procrustes_latent_path,all,latent_rmse,0.50440646152078639
test,primary,two_stage_channel_gp_then_fa,train_frozen_procrustes_latent_path,all,latent_rmse,0.44528048333028314
test,primary,two_stage_channel_gp_then_fa,train_frozen_procrustes_latent_path,all,latent_95_coverage,0.71666666666666667
test,primary,two_stage_channel_gp_then_pca,deterministic_hidden_raw_reconstruction,masked_channel,predictive_rmse,0.59377890070687023
test,primary,two_stage_channel_gp_then_pca,deterministic_hidden_raw_reconstruction,masked_block,predictive_rmse,0.78941427975958101
test,primary,two_stage_channel_gp_then_fa,deterministic_hidden_raw_reconstruction,masked_channel,predictive_rmse,0.63737854168061681
test,primary,two_stage_channel_gp_then_fa,deterministic_hidden_raw_reconstruction,masked_block,predictive_rmse,0.79078792577254098
test,primary,independent_channel_gp_smoothing,latent_recovery,all,latent_rmse,0.40865497639869097
test,primary,independent_channel_gp_smoothing,fully_hidden_channel,masked_channel,hidden_channel_prior_offset_max_abs,0
test,primary,independent_channel_gp_smoothing,masked_observation_prediction,masked_channel,predictive_nll_per_entry,1.151789385414008
test,primary,independent_channel_gp_smoothing,masked_observation_prediction,masked_channel,predictive_rmse,1.140841576884692
test,primary,independent_channel_gp_smoothing,masked_observation_prediction,masked_channel,predictive_95_coverage,0.875
test,primary,independent_channel_gp_smoothing,masked_observation_prediction,masked_channel,mean_predictive_variance,1.0075000000000001
test,primary,independent_channel_gp_smoothing,masked_observation_prediction,masked_channel,hidden_target_count,48
test,primary,independent_channel_gp_smoothing,masked_observation_prediction,masked_block,predictive_nll_per_entry,1.0495071740850663
test,primary,independent_channel_gp_smoothing,masked_observation_prediction,masked_block,predictive_rmse,0.80897379779465017
test,primary,independent_channel_gp_smoothing,masked_observation_prediction,masked_block,predictive_95_coverage,0.94444444444444442
test,primary,independent_channel_gp_smoothing,masked_observation_prediction,masked_block,mean_predictive_variance,0.70412639610255767
test,primary,independent_channel_gp_smoothing,masked_observation_prediction,masked_block,hidden_target_count,126
test,informative_missingness,oracle_gpfa_skipped_mask_warning,latent_recovery_warning_only,all,latent_rmse,0.40908460187941281
stress,changepoint,oracle_gpfa_misspecified,latent_recovery,all,latent_rmse,0.19589687363673752
stress,changepoint,oracle_gpfa_misspecified,observation_distribution,all,marginal_nll_per_entry,0.94645857134220146
stress,correlated_residuals,oracle_gpfa_misspecified,latent_recovery,all,latent_rmse,0.17585819924826196
stress,correlated_residuals,oracle_gpfa_misspecified,observation_distribution,all,marginal_nll_per_entry,0.92679515720184857
stress,poisson_sqrt,oracle_gpfa_misspecified,latent_recovery,all,latent_rmse,0.92104628864063043
stress,poisson_sqrt,oracle_gpfa_misspecified,observation_distribution,all,marginal_nll_per_entry,2.1075440369395908
stress,alignment_jitter,oracle_gpfa_misspecified,latent_recovery,all,latent_rmse,0.40440325338946553
stress,alignment_jitter,oracle_gpfa_misspecified,observation_distribution,all,marginal_nll_per_entry,0.95565142742509646
test,correlated_residuals,correlated_residual_static_fa,observation_distribution,complete_trial,marginal_nll_per_entry,1.1276905748112678
test,correlated_residuals,correlated_residual_static_fa,aligned_latent_scores,all,latent_rmse,0.36890434701161984
test,correlated_residuals,correlated_residual_static_fa,aligned_latent_scores,all,latent_95_coverage,0.87916666666666665
test,correlated_residuals,correlated_residual_static_fa,aligned_latent_scores,all,posterior_roughness,0.4710608989540927
test,correlated_residuals,correlated_residual_static_fa,loading_subspace,all,loading_subspace_angle_degrees,5.6123093373560531
test,correlated_residuals,correlated_residual_two_stage_fa,train_frozen_procrustes_latent_path,all,latent_rmse,0.32578926251026391
test,correlated_residuals,correlated_residual_two_stage_fa,train_frozen_procrustes_latent_path,all,latent_95_coverage,0.76666666666666672
stress,correlated_residuals,correlated_residual_two_stage_fa,loading_subspace,all,loading_subspace_angle_degrees,6.1542615277617694
test,changepoint,oracle_gpfa_step_mask_misspecified,observation_distribution,complete_trial,marginal_nll_per_entry,0.94645857134220146
test,changepoint,oracle_gpfa_step_mask_misspecified,masked_observation_prediction,masked_channel,predictive_nll_per_entry,1.020352100490485
test,changepoint,oracle_gpfa_step_mask_misspecified,masked_observation_prediction,masked_channel,predictive_rmse,0.99722141628390615
test,changepoint,oracle_gpfa_step_mask_misspecified,masked_observation_prediction,masked_channel,predictive_95_coverage,0.8928571428571429
test,changepoint,oracle_gpfa_step_mask_misspecified,masked_observation_prediction,masked_channel,mean_predictive_variance,0.60167736092928192
test,changepoint,oracle_gpfa_step_mask_misspecified,masked_observation_prediction,masked_channel,hidden_target_count,84
test,changepoint,oracle_gpfa_step_mask_misspecified,masked_observation_prediction,masked_block,predictive_nll_per_entry,0.97851534084648595
test,changepoint,oracle_gpfa_step_mask_misspecified,masked_observation_prediction,masked_block,predictive_rmse,1.2600381557326215
test,changepoint,oracle_gpfa_step_mask_misspecified,masked_observation_prediction,masked_block,predictive_95_coverage,0.81746031746031744
test,changepoint,oracle_gpfa_step_mask_misspecified,masked_observation_prediction,masked_block,mean_predictive_variance,0.60167736092928192
test,changepoint,oracle_gpfa_step_mask_misspecified,masked_observation_prediction,masked_block,hidden_target_count,126
test,changepoint,oracle_gpfa_step_mask_misspecified,latent_posterior,all,latent_rmse,0.61763602915408067
test,changepoint,oracle_gpfa_step_mask_misspecified,latent_posterior,all,latent_95_coverage,0.93333333333333324
test,changepoint,oracle_gpfa_step_mask_misspecified,latent_posterior,all,mean_posterior_variance,0.13909239766057194
test,changepoint,oracle_gpfa_step_mask_misspecified,latent_posterior,all,posterior_roughness,0.12196532836092003
test,changepoint,oracle_gpfa_step_mask_misspecified,latent_posterior,masked_time_region,latent_rmse,1.1028516710634404
test,changepoint,oracle_gpfa_step_mask_misspecified,latent_posterior,masked_time_region,latent_95_coverage,0.87142857142857144
test,changepoint,oracle_gpfa_step_mask_misspecified,latent_posterior,unmasked_time_region,latent_rmse,0.19424206996445975
test,changepoint,oracle_gpfa_step_mask_misspecified,latent_posterior,unmasked_time_region,latent_95_coverage,0.95882352941176474
test,primary,oracle_gpfa_residual_diagnostic,observation_residual,all,residual_mean_abs_max,0.073869027963924638
test,primary,oracle_gpfa_residual_diagnostic,observation_residual,all,residual_variance_mean,0.25938082484521152
test,primary,oracle_gpfa_residual_diagnostic,observation_residual,all,residual_max_offdiagonal_covariance,0.044063915729581196
