domain,condition,split,method,target,metric,value
circle,nonuniform_density,train,diffusion_maps,diffusion_distance,two_mode_truncation_relative_rmse,0.45053021132851245
circle,nonuniform_density,train,diffusion_maps,diffusion_distance,full_spectrum_pairwise_rms,2.8609463842567182
circle,nonuniform_density,train,diffusion_maps,spectrum,eigenvalue_0,1
circle,nonuniform_density,train,diffusion_maps,spectrum,eigenvalue_1,0.9825046914650496
circle,nonuniform_density,train,diffusion_maps,spectrum,eigenvalue_2,0.93950943774422546
circle,nonuniform_density,train,diffusion_maps,spectrum,eigenvalue_3,0.89462921857622901
circle,nonuniform_density,train,diffusion_maps,l2_pi_fourier_two_mode_eigenspace,l2_pi_principal_angle_1_degrees,7.4806468960160712
circle,nonuniform_density,train,diffusion_maps,l2_pi_fourier_two_mode_eigenspace,l2_pi_principal_angle_2_degrees,13.571039588253042
circle,epsilon_too_small,train,diffusion_maps,operator,l2_pi_p_invariant_subspace_residual,2.6109638553604238e-16
circle,epsilon_too_small,train,diffusion_maps,diffusion_distance,two_mode_truncation_relative_rmse,0.78719856054960125
circle,epsilon_too_small,train,diffusion_maps,diffusion_distance,full_spectrum_pairwise_rms,8.3689661214323241
circle,epsilon_too_small,train,diffusion_maps,spectrum,eigenvalue_0,1
circle,epsilon_too_small,train,diffusion_maps,spectrum,eigenvalue_1,0.99874980532925428
circle,epsilon_too_small,train,diffusion_maps,spectrum,eigenvalue_2,0.99874980532925428
circle,epsilon_too_small,train,diffusion_maps,spectrum,eigenvalue_3,0.99500863282680729
circle,epsilon_too_small,train,diffusion_maps,l2_pi_fourier_two_mode_eigenspace,l2_pi_principal_angle_1_degrees,0
circle,epsilon_too_small,train,diffusion_maps,l2_pi_fourier_two_mode_eigenspace,l2_pi_principal_angle_2_degrees,0
circle,epsilon_too_large,train,diffusion_maps,operator,l2_pi_p_invariant_subspace_residual,1.307675583787374e-16
circle,epsilon_too_large,train,diffusion_maps,diffusion_distance,two_mode_truncation_relative_rmse,0.0069317522282369322
circle,epsilon_too_large,train,diffusion_maps,diffusion_distance,full_spectrum_pairwise_rms,0.3962156572956288
circle,epsilon_too_large,train,diffusion_maps,spectrum,eigenvalue_0,0.99999999999999989
circle,epsilon_too_large,train,diffusion_maps,spectrum,eigenvalue_1,0.19610381221799567
circle,epsilon_too_large,train,diffusion_maps,spectrum,eigenvalue_2,0.19610381221799544
circle,epsilon_too_large,train,diffusion_maps,spectrum,eigenvalue_3,0.019480938910022418
circle,epsilon_too_large,train,diffusion_maps,l2_pi_fourier_two_mode_eigenspace,l2_pi_principal_angle_1_degrees,0
circle,epsilon_too_large,train,diffusion_maps,l2_pi_fourier_two_mode_eigenspace,l2_pi_principal_angle_2_degrees,0
circle,uniform,train,diffusion_maps,markov_operator_oracle,markov_row_sum_max_abs_error,2.2204460492503131e-16
circle,uniform,train,diffusion_maps,markov_operator_oracle,stationary_distribution_max_abs_error,8.6736173798840355e-18
circle,uniform,train,diffusion_maps,markov_operator_oracle,detailed_balance_max_abs_error,2.1684043449710089e-19
circle,uniform,train,diffusion_maps,markov_operator_oracle,l2_pi_eigenfunction_gram_max_abs_error,3.1086244689504383e-15
circle,uniform,train,diffusion_maps,markov_operator_oracle,spectral_direct_diffusion_distance_max_abs_error,8.8817841970012523e-15
hairpin,reduced_branch_separation,train,generator_oracle,reduced_geometry,radius,0.059999999999999998
hairpin,reduced_branch_separation,train,generator_oracle,reduced_geometry,total_length,6.1884955592153874
hairpin,reduced_branch_separation,train,generator_oracle,reduced_geometry,endpoint_max_abs_error,0
hairpin,reduced_branch_separation,train,generator_oracle,reduced_geometry,sample_min_ell,0.02317995830000745
hairpin,reduced_branch_separation,train,generator_oracle,reduced_geometry,sample_max_ell,6.1837498466080554
hairpin,reduced_branch_separation,train,generator_oracle,reduced_geometry,domain_upper_bound,6.1884955592153874
hairpin,reduced_branch_separation,train,generator_oracle,reduced_geometry,max_domain_violation,0
hairpin,reduced_branch_separation,train,generator_oracle,reduced_geometry,nominal_quantile_reuse_max_abs_error,1.1102230246251565e-16
hairpin,reduced_branch_separation,train,generator_oracle,reduced_geometry,straight_branch_length,3
hairpin,synthetic_exact_ties,train,knn_oracle,tie_handling,no_self_neighbor_candidates,1
hairpin,synthetic_exact_ties,train,knn_oracle,tie_handling,stable_lower_index_tie_behavior,1
hairpin,synthetic_exact_ties,train,knn_oracle,tie_handling,union_symmetry,1
hairpin,synthetic_exact_ties,train,knn_oracle,tie_handling,retained_edge_weight_max_abs_error,0
