dt,sigma,replicate,model,output,feature,coefficient,true_coefficient
0.025,0.02,0,permuted,dx,y,-0.0658423562451,-2
0.025,0.02,0,permuted,dx,x2,0.0521632421005,0
0.025,0.02,0,permuted,dx,xy,-0.0983153638998,0
0.025,0.02,0,permuted,dx,y2,0.0912970449665,0
0.025,0.02,0,permuted,dx,x3,0.0660306056525,-1
0.025,0.02,0,permuted,dx,x2y,0.042611117822,0
0.025,0.02,0,permuted,dx,xy2,0.228950453604,-1
0.025,0.02,0,permuted,dx,y3,-3.16941840402e-05,0
0.025,0.02,0,permuted,dy,1,0.182015340781,0
0.025,0.02,0,permuted,dy,x,-0.0424825693935,2
0.025,0.02,0,permuted,dy,y,-0.0709182096486,1
0.025,0.02,0,permuted,dy,x2,-0.195486033797,0
0.025,0.02,0,permuted,dy,xy,0.0348086034369,0
0.025,0.02,0,permuted,dy,y2,-0.120230381771,0
0.025,0.02,0,permuted,dy,x3,-0.0748091912949,0
0.025,0.02,0,permuted,dy,x2y,0.213189582236,-1
0.025,0.02,0,permuted,dy,xy2,0.120274893864,0
0.025,0.02,0,permuted,dy,y3,0.0708919130048,-1
0.025,0.02,1,cubic,dx,1,-0.000510813836353,0
0.025,0.02,1,cubic,dx,x,1.0047755417,1
0.025,0.02,1,cubic,dx,y,-1.99880823534,-2
0.025,0.02,1,cubic,dx,x2,-0.000749522555046,0
0.025,0.02,1,cubic,dx,xy,-0.00162435794427,0
0.025,0.02,1,cubic,dx,y2,0.00120780086386,0
0.025,0.02,1,cubic,dx,x3,-1.00107272451,-1
0.025,0.02,1,cubic,dx,x2y,-0.0181079333438,0
0.025,0.02,1,cubic,dx,xy2,-1.01299955325,-1
0.025,0.02,1,cubic,dx,y3,0.00270293723005,0
0.025,0.02,1,cubic,dy,1,0.00592284709346,0
0.025,0.02,1,cubic,dy,x,1.98533794141,2
0.025,0.02,1,cubic,dy,y,0.989718022142,1
0.025,0.02,1,cubic,dy,x2,-0.00429109775699,0
0.025,0.02,1,cubic,dy,xy,0.00329376772227,0
0.025,0.02,1,cubic,dy,y2,-0.00803179034147,0
0.025,0.02,1,cubic,dy,x3,0.0154184430787,0
0.025,0.02,1,cubic,dy,x2y,-0.990368859887,-1
0.025,0.02,1,cubic,dy,xy2,0.0052729480944,0
0.025,0.02,1,cubic,dy,y3,-0.990427780614,-1
0.025,0.02,1,affine,dx,1,0.00431656325137,0
0.025,0.02,1,affine,dx,x,0.0191755141713,1
0.025,0.02,1,affine,dx,y,-1.99968416679,-2
0.025,0.02,1,affine,dx,x2,0,0
0.025,0.02,1,affine,dx,xy,0,0
0.025,0.02,1,affine,dx,y2,0,0
0.025,0.02,1,affine,dx,x3,0,-1
0.025,0.02,1,affine,dx,x2y,0,0
0.025,0.02,1,affine,dx,xy2,0,-1
0.025,0.02,1,affine,dx,y3,0,0
0.025,0.02,1,affine,dy,1,0.0201707847803,0
0.025,0.02,1,affine,dy,x,1.99974644316,2
0.025,0.02,1,affine,dy,y,0.0178604191864,1
0.025,0.02,1,affine,dy,x2,0,0
0.025,0.02,1,affine,dy,xy,0,0
0.025,0.02,1,affine,dy,y2,0,0
0.025,0.02,1,affine,dy,x3,0,0
0.025,0.02,1,affine,dy,x2y,0,-1
0.025,0.02,1,affine,dy,xy2,0,0
0.025,0.02,1,affine,dy,y3,0,-1
0.025,0.02,1,permuted,dx,1,-0.152371365533,0
0.025,0.02,1,permuted,dx,x,-0.132479180008,1
0.025,0.02,1,permuted,dx,y,0.141728326041,-2
0.025,0.02,1,permuted,dx,x2,0.08121580812,0
0.025,0.02,1,permuted,dx,xy,0.0640176141204,0
0.025,0.02,1,permuted,dx,y2,0.0422022983197,0
0.025,0.02,1,permuted,dx,x3,0.145226651231,-1
0.025,0.02,1,permuted,dx,x2y,-0.12090299778,0
0.025,0.02,1,permuted,dx,xy2,0.237539286097,-1
0.025,0.02,1,permuted,dx,y3,-0.142413923349,0
0.025,0.02,1,permuted,dy,1,0.0125902004092,0
