dt,sigma,replicate,split,model,unit,metric,value
0.025,0,0,test,cubic,traj_003,observed_rollout_rmse,0.00202470525593
0.025,0,0,test,cubic,traj_003,oracle_radial_rmse,0.000552192239357
0.025,0,0,test,cubic,traj_003,observed_radial_rmse,0.000576753596341
0.025,0,0,test,cubic,traj_003,one_step_failure_rate,0
0.025,0,0,test,cubic,traj_003,oracle_rollout_failure,0
0.025,0,0,test,cubic,traj_003,observed_rollout_failure,0
0.025,0,0,test,cubic,traj_003,oracle_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_003,observed_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_003,rollout_failure,0
0.025,0,0,test,cubic,traj_004,one_step_rmse,1.19535812291e-05
0.025,0,0,test,cubic,traj_004,oracle_rollout_rmse,0.000343758182722
0.025,0,0,test,cubic,traj_004,observed_rollout_rmse,0.000518588613359
0.025,0,0,test,cubic,traj_004,oracle_radial_rmse,0.000186314552345
0.025,0,0,test,cubic,traj_004,observed_radial_rmse,0.000186315740991
0.025,0,0,test,cubic,traj_004,one_step_failure_rate,0
0.025,0,0,test,cubic,traj_004,oracle_rollout_failure,0
0.025,0,0,test,cubic,traj_004,observed_rollout_failure,0
0.025,0,0,test,cubic,traj_004,oracle_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_004,observed_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_004,rollout_failure,0
0.025,0,0,test,cubic,traj_005,one_step_rmse,2.48755390452e-05
0.025,0,0,test,cubic,traj_005,oracle_rollout_rmse,0.00202066417914
0.025,0,0,test,cubic,traj_005,observed_rollout_rmse,0.00169576144579
0.025,0,0,test,cubic,traj_005,oracle_radial_rmse,0.000436095918167
0.025,0,0,test,cubic,traj_005,observed_radial_rmse,0.000480944363334
0.025,0,0,test,cubic,traj_005,one_step_failure_rate,0
0.025,0,0,test,cubic,traj_005,oracle_rollout_failure,0
0.025,0,0,test,cubic,traj_005,observed_rollout_failure,0
0.025,0,0,test,cubic,traj_005,oracle_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_005,observed_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_005,rollout_failure,0
0.025,0,0,test,cubic,traj_006,one_step_rmse,1.23894060529e-05
0.025,0,0,test,cubic,traj_006,oracle_rollout_rmse,0.000335291511902
0.025,0,0,test,cubic,traj_006,observed_rollout_rmse,0.000593558925815
0.025,0,0,test,cubic,traj_006,oracle_radial_rmse,0.000185769483959
0.025,0,0,test,cubic,traj_006,observed_radial_rmse,0.000184823619131
0.025,0,0,test,cubic,traj_006,one_step_failure_rate,0
0.025,0,0,test,cubic,traj_006,oracle_rollout_failure,0
0.025,0,0,test,cubic,traj_006,observed_rollout_failure,0
0.025,0,0,test,cubic,traj_006,oracle_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_006,observed_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_006,rollout_failure,0
0.025,0,0,test,cubic,traj_007,one_step_rmse,1.82494584391e-05
0.025,0,0,test,cubic,traj_007,oracle_rollout_rmse,0.0015774537628
0.025,0,0,test,cubic,traj_007,observed_rollout_rmse,0.00129121141703
0.025,0,0,test,cubic,traj_007,oracle_radial_rmse,0.000318445722043
0.025,0,0,test,cubic,traj_007,observed_radial_rmse,0.000360678343697
0.025,0,0,test,cubic,traj_007,one_step_failure_rate,0
0.025,0,0,test,cubic,traj_007,oracle_rollout_failure,0
0.025,0,0,test,cubic,traj_007,observed_rollout_failure,0
0.025,0,0,test,cubic,traj_007,oracle_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_007,observed_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_007,rollout_failure,0
0.025,0,0,test,cubic,traj_008,one_step_rmse,2.29134770604e-05
0.025,0,0,test,cubic,traj_008,oracle_rollout_rmse,0.00214137463736
0.025,0,0,test,cubic,traj_008,observed_rollout_rmse,0.0017312599058
0.025,0,0,test,cubic,traj_008,oracle_radial_rmse,0.000475064789794
0.025,0,0,test,cubic,traj_008,observed_radial_rmse,0.000507269831901
0.025,0,0,test,cubic,traj_008,one_step_failure_rate,0
0.025,0,0,test,cubic,traj_008,oracle_rollout_failure,0
0.025,0,0,test,cubic,traj_008,observed_rollout_failure,0
0.025,0,0,test,cubic,traj_008,oracle_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_008,observed_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_008,rollout_failure,0
0.025,0,0,test,cubic,traj_009,one_step_rmse,1.35352993953e-05
0.025,0,0,test,cubic,traj_009,oracle_rollout_rmse,0.000330092246488
0.025,0,0,test,cubic,traj_009,observed_rollout_rmse,0.000784194561797
0.025,0,0,test,cubic,traj_009,oracle_radial_rmse,0.000188905697674
0.025,0,0,test,cubic,traj_009,observed_radial_rmse,0.000186948661676
0.025,0,0,test,cubic,traj_009,one_step_failure_rate,0
0.025,0,0,test,cubic,traj_009,oracle_rollout_failure,0
0.025,0,0,test,cubic,traj_009,observed_rollout_failure,0
0.025,0,0,test,cubic,traj_009,oracle_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_009,observed_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_009,rollout_failure,0
0.025,0,0,test,cubic,traj_010,one_step_rmse,1.26974826678e-05
0.025,0,0,test,cubic,traj_010,oracle_rollout_rmse,0.000286856861733
0.025,0,0,test,cubic,traj_010,observed_rollout_rmse,0.000588540662531
0.025,0,0,test,cubic,traj_010,oracle_radial_rmse,0.00018735486785
0.025,0,0,test,cubic,traj_010,observed_radial_rmse,0.000186240773688
0.025,0,0,test,cubic,traj_010,one_step_failure_rate,0
0.025,0,0,test,cubic,traj_010,oracle_rollout_failure,0
0.025,0,0,test,cubic,traj_010,observed_rollout_failure,0
0.025,0,0,test,cubic,traj_010,oracle_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_010,observed_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_010,rollout_failure,0
0.025,0,0,test,cubic,traj_011,one_step_rmse,1.68461126493e-05
0.025,0,0,test,cubic,traj_011,oracle_rollout_rmse,0.00133965223741
0.025,0,0,test,cubic,traj_011,observed_rollout_rmse,0.00110900797562
0.025,0,0,test,cubic,traj_011,oracle_radial_rmse,0.000291442890964
0.025,0,0,test,cubic,traj_011,observed_radial_rmse,0.000334423176573
0.025,0,0,test,cubic,traj_011,one_step_failure_rate,0
0.025,0,0,test,cubic,traj_011,oracle_rollout_failure,0
0.025,0,0,test,cubic,traj_011,observed_rollout_failure,0
0.025,0,0,test,cubic,traj_011,oracle_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_011,observed_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_011,rollout_failure,0
0.025,0,0,test,cubic,traj_012,one_step_rmse,1.19837518221e-05
0.025,0,0,test,cubic,traj_012,oracle_rollout_rmse,0.00031848720699
0.025,0,0,test,cubic,traj_012,observed_rollout_rmse,0.000539203396295
0.025,0,0,test,cubic,traj_012,oracle_radial_rmse,0.000184257100317
0.025,0,0,test,cubic,traj_012,observed_radial_rmse,0.000184427678533
0.025,0,0,test,cubic,traj_012,one_step_failure_rate,0
