split,condition,parameter_source,method,inference_target,region,metric,value
validation,learned_grid,selected_train_validation,kalman_filter,online_state,all,mean_posterior_variance,0.13196395794704122
validation,learned_grid,selected_train_validation,rts_smoother,retrospective_state,all,latent_rmse,0.3164902588063716
validation,learned_grid,selected_train_validation,rts_smoother,retrospective_state,all,interval_95_coverage,0.95416666666666672
validation,learned_grid,selected_train_validation,rts_smoother,retrospective_state,all,mean_posterior_variance,0.10111147150416747
validation,learned_grid,baseline,stationary_mean,point_state,all,latent_rmse,0.53329404564910432
validation,learned_grid,baseline,persistence,point_state,all,latent_rmse,0.6109683149187517
validation,learned_grid,selected_train_validation,open_loop,point_state,all,latent_rmse,0.54678239371128501
validation,learned_grid,selected_train_validation,kalman_filter,one_step_observation,observed,predictive_nll,1.1074820413624678
validation,learned_grid,selected_train_validation,kalman_filter,innovation,observed,innovation_mean,0.01474803154929087
validation,learned_grid,selected_train_validation,kalman_filter,innovation,observed,innovation_variance,0.89244391890699137
validation,learned_grid,selected_train_validation,kalman_filter,innovation,observed,innovation_lag1,0.048523983173341313
validation,q_too_small_r_too_large,predeclared_wrong,kalman_filter,online_state,all,latent_rmse,0.42984639899417015
validation,q_too_small_r_too_large,predeclared_wrong,kalman_filter,online_state,all,interval_95_coverage,0.7583333333333333
validation,q_too_small_r_too_large,predeclared_wrong,kalman_filter,online_state,all,mean_posterior_variance,0.068022578739519501
validation,q_too_small_r_too_large,predeclared_wrong,rts_smoother,retrospective_state,all,latent_rmse,0.39296969825463646
validation,q_too_small_r_too_large,predeclared_wrong,rts_smoother,retrospective_state,all,interval_95_coverage,0.76666666666666672
validation,q_too_small_r_too_large,predeclared_wrong,rts_smoother,retrospective_state,all,mean_posterior_variance,0.0586308407568846
validation,q_too_small_r_too_large,baseline,stationary_mean,point_state,all,latent_rmse,0.53329404564910432
validation,q_too_small_r_too_large,baseline,persistence,point_state,all,latent_rmse,0.6109683149187517
validation,q_too_small_r_too_large,predeclared_wrong,open_loop,point_state,all,latent_rmse,0.5349885925021769
validation,q_too_small_r_too_large,predeclared_wrong,kalman_filter,one_step_observation,observed,predictive_nll,1.1811744862015838
validation,q_too_small_r_too_large,predeclared_wrong,kalman_filter,innovation,observed,innovation_mean,0.016760239265698453
validation,q_too_small_r_too_large,predeclared_wrong,kalman_filter,innovation,observed,innovation_variance,0.65846936894644492
validation,q_too_small_r_too_large,predeclared_wrong,kalman_filter,innovation,observed,innovation_lag1,0.25548161062753066
validation,q_too_large_r_too_small,predeclared_wrong,kalman_filter,online_state,all,latent_rmse,0.51837302893376913
validation,q_too_large_r_too_small,predeclared_wrong,kalman_filter,online_state,all,interval_95_coverage,0.73750000000000004
validation,q_too_large_r_too_small,predeclared_wrong,kalman_filter,online_state,all,mean_posterior_variance,0.0822672618454484
validation,q_too_large_r_too_small,predeclared_wrong,rts_smoother,retrospective_state,all,latent_rmse,0.47599031115435725
validation,q_too_large_r_too_small,predeclared_wrong,rts_smoother,retrospective_state,all,interval_95_coverage,0.75208333333333333
validation,q_too_large_r_too_small,predeclared_wrong,rts_smoother,retrospective_state,all,mean_posterior_variance,0.073432545779406083
validation,q_too_large_r_too_small,baseline,stationary_mean,point_state,all,latent_rmse,0.53329404564910432
validation,q_too_large_r_too_small,baseline,persistence,point_state,all,latent_rmse,0.6109683149187517
validation,q_too_large_r_too_small,predeclared_wrong,open_loop,point_state,all,latent_rmse,0.57273136776471278
validation,q_too_large_r_too_small,predeclared_wrong,kalman_filter,one_step_observation,observed,predictive_nll,1.1739237933877746
validation,q_too_large_r_too_small,predeclared_wrong,kalman_filter,innovation,observed,innovation_mean,0.0067995875203386014
validation,q_too_large_r_too_small,predeclared_wrong,kalman_filter,innovation,observed,innovation_variance,1.0780763996297547
validation,q_too_large_r_too_small,predeclared_wrong,kalman_filter,innovation,observed,innovation_lag1,-0.27938552439078729
test,correct_model,known_true,kalman_filter,online_state,all,latent_rmse,0.35578122508372961
test,correct_model,known_true,kalman_filter,online_state,all,interval_95_coverage,0.94843750000000004
test,correct_model,known_true,kalman_filter,online_state,all,mean_posterior_variance,0.13196395794704122
test,correct_model,known_true,rts_smoother,retrospective_state,all,latent_rmse,0.31413568495860111
test,correct_model,known_true,rts_smoother,retrospective_state,all,interval_95_coverage,0.94843750000000004
test,correct_model,known_true,rts_smoother,retrospective_state,all,mean_posterior_variance,0.10111147150416747
test,correct_model,baseline,stationary_mean,point_state,all,latent_rmse,0.61600626940280057
test,correct_model,baseline,persistence,point_state,all,latent_rmse,0.60333433388944924
test,correct_model,known_true,open_loop,point_state,all,latent_rmse,0.61107230574852744
test,correct_model,known_true,kalman_filter,one_step_observation,observed,predictive_nll,1.1114523753447194
test,correct_model,known_true,kalman_filter,innovation,observed,innovation_mean,-0.027404961492454694
test,correct_model,known_true,kalman_filter,innovation,observed,innovation_variance,0.89985105939167054
test,correct_model,known_true,kalman_filter,innovation,observed,innovation_lag1,0.0048282405030048384
test,learned_grid,selected_train_validation,kalman_filter,online_state,all,latent_rmse,0.35578122508372961
test,learned_grid,selected_train_validation,kalman_filter,online_state,all,interval_95_coverage,0.94843750000000004
test,learned_grid,selected_train_validation,kalman_filter,online_state,all,mean_posterior_variance,0.13196395794704122
test,learned_grid,selected_train_validation,rts_smoother,retrospective_state,all,latent_rmse,0.31413568495860111
test,learned_grid,selected_train_validation,rts_smoother,retrospective_state,all,interval_95_coverage,0.94843750000000004
test,learned_grid,selected_train_validation,rts_smoother,retrospective_state,all,mean_posterior_variance,0.10111147150416747
test,learned_grid,baseline,stationary_mean,point_state,all,latent_rmse,0.61600626940280057
test,learned_grid,baseline,persistence,point_state,all,latent_rmse,0.60333433388944924
test,learned_grid,selected_train_validation,open_loop,point_state,all,latent_rmse,0.61107230574852744
test,learned_grid,selected_train_validation,kalman_filter,one_step_observation,observed,predictive_nll,1.1114523753447194
test,learned_grid,selected_train_validation,kalman_filter,innovation,observed,innovation_mean,-0.027404961492454694
test,learned_grid,selected_train_validation,kalman_filter,innovation,observed,innovation_variance,0.89985105939167054
test,learned_grid,selected_train_validation,kalman_filter,innovation,observed,innovation_lag1,0.0048282405030048384
test,q_too_small_r_too_large,predeclared_wrong,kalman_filter,online_state,all,latent_rmse,0.47876212640208182
test,q_too_small_r_too_large,predeclared_wrong,kalman_filter,online_state,all,interval_95_coverage,0.70625000000000004
test,q_too_small_r_too_large,predeclared_wrong,kalman_filter,online_state,all,mean_posterior_variance,0.068022578739519488
test,q_too_small_r_too_large,predeclared_wrong,rts_smoother,retrospective_state,all,latent_rmse,0.42043328527765844
test,q_too_small_r_too_large,predeclared_wrong,rts_smoother,retrospective_state,all,interval_95_coverage,0.73281249999999998
test,q_too_small_r_too_large,predeclared_wrong,rts_smoother,retrospective_state,all,mean_posterior_variance,0.058630840756884607
test,q_too_small_r_too_large,baseline,stationary_mean,point_state,all,latent_rmse,0.61600626940280057
test,q_too_small_r_too_large,baseline,persistence,point_state,all,latent_rmse,0.60333433388944924
test,q_too_small_r_too_large,predeclared_wrong,open_loop,point_state,all,latent_rmse,0.61394782089773237
test,q_too_small_r_too_large,predeclared_wrong,kalman_filter,one_step_observation,observed,predictive_nll,1.2000304884828599
test,q_too_small_r_too_large,predeclared_wrong,kalman_filter,innovation,observed,innovation_mean,-0.047543421648423775
test,q_too_small_r_too_large,predeclared_wrong,kalman_filter,innovation,observed,innovation_variance,0.69420190218720124
test,q_too_small_r_too_large,predeclared_wrong,kalman_filter,innovation,observed,innovation_lag1,0.24008642775651251
test,q_too_large_r_too_small,predeclared_wrong,kalman_filter,online_state,all,latent_rmse,0.50695041701303034
test,q_too_large_r_too_small,predeclared_wrong,kalman_filter,online_state,all,interval_95_coverage,0.74375000000000002
test,q_too_large_r_too_small,predeclared_wrong,kalman_filter,online_state,all,mean_posterior_variance,0.082267261845448414
test,q_too_large_r_too_small,predeclared_wrong,rts_smoother,retrospective_state,all,latent_rmse,0.46307606805491663
test,q_too_large_r_too_small,predeclared_wrong,rts_smoother,retrospective_state,all,interval_95_coverage,0.7578125
test,q_too_large_r_too_small,predeclared_wrong,rts_smoother,retrospective_state,all,mean_posterior_variance,0.073432545779406083
test,q_too_large_r_too_small,baseline,stationary_mean,point_state,all,latent_rmse,0.61600626940280057
test,q_too_large_r_too_small,baseline,persistence,point_state,all,latent_rmse,0.60333433388944924
test,q_too_large_r_too_small,predeclared_wrong,open_loop,point_state,all,latent_rmse,0.61780257339091904
test,q_too_large_r_too_small,predeclared_wrong,kalman_filter,one_step_observation,observed,predictive_nll,1.1872764572579393
test,q_too_large_r_too_small,predeclared_wrong,kalman_filter,innovation,observed,innovation_mean,-0.012746374285276229
test,q_too_large_r_too_small,predeclared_wrong,kalman_filter,innovation,observed,innovation_variance,1.1046654917031105
test,q_too_large_r_too_small,predeclared_wrong,kalman_filter,innovation,observed,innovation_lag1,-0.31102721577228598
test,missing_block,known_true,kalman_filter,online_state,all,latent_rmse,0.4231633536672601
