split,condition,preprocessing,method,target,metric,value
test,symmetric_decay,train_fit,skew_plane_1,projected_trajectory,plane_occupancy,0.23383360081015367
test,symmetric_decay,train_fit,skew_plane_1,projected_trajectory,tangential_energy,3.1371511720027585
test,symmetric_decay,train_fit,skew_plane_1,projected_trajectory,radial_energy,3.0288699238152943
test,symmetric_decay,train_fit,skew_plane_1,projected_trajectory,tangential_radial_energy_ratio,1.0357497188426859
test,symmetric_decay,train_fit,skew_plane_1,projected_trajectory,perpendicular_fraction_within_15deg,0.17916666666666667
test,symmetric_decay,train_fit,skew_plane_1,projected_trajectory,condition_span_mean_radians,0.99692586677176531
test,symmetric_decay,train_fit,skew_plane_1,projected_trajectory,condition_span_median_radians,0.84837494801304869
test,symmetric_decay,train_fit,skew_plane_1,projected_trajectory,condition_span_min_radians,0.73051618040867239
test,symmetric_decay,train_fit,skew_plane_1,projected_trajectory,condition_span_max_radians,1.8907974145256463
test,symmetric_decay,train_fit,skew_plane_1,projected_trajectory,signed_direction_consistency,0.625
test,symmetric_decay,train_fit,skew_plane_1,projected_trajectory,condition_signed_angular_rate_mean,0.015431813988740481
